symbol,date,transition,prior_regime,new_regime,detector,event
KEUA,2024-07-12,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KEX,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KEY,2024-12-02,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KEYS,2025-08-20,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KFFB,2025-10-07,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP
KFRC,2024-07-30,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KHC,2025-05-21,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN
KHC,2025-07-11,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KIDS,2024-03-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KINS,2024-11-20,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KLAC,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KLIC,2025-08-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KLTR,2024-11-07,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP
KLTR,2025-04-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KLXY,2024-04-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KLXY,2024-08-06,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN
KLXY,2025-06-25,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KMB,2024-04-19,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KMDA,2025-06-24,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KMI,2024-10-10,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KMX,2024-04-15,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KNDI,2024-08-02,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KNGZ,2025-07-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KNSL,2024-04-26,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN
KOCT,2024-12-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KODK,2025-04-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KOKU,2025-03-05,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KOMP,2025-07-16,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP
KOP,2025-04-07,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN
KOP,2025-08-11,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KORE,2024-07-23,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KORP,2024-10-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KOSS,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KPTI,2025-03-24,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KR,2024-12-10,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KRE,2024-11-13,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KRG,2024-07-30,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KRG,2024-10-15,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP
KRNT,2024-05-28,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KRO,2024-11-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KROP,2024-05-20,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KROS,2024-12-27,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KRP,2025-03-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KRRO,2024-06-13,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KRYS,2025-06-24,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN
KSA,2024-05-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KSEP,2025-07-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KSTR,2025-08-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KT,2024-11-25,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KTB,2025-07-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KTCC,2024-07-16,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KTEC,2025-08-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KTOS,2024-11-11,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KTTA,2025-02-05,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KULR,2024-11-21,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KURA,2024-11-19,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KVHI,2025-09-08,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP
KVUE,2024-08-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KVUE,2024-11-08,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP
KWEB,2024-04-24,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
KWEB,2024-10-02,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP
KWR,2024-12-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KXIN,2024-12-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KYTX,2024-06-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
KZR,2025-10-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
L,2024-04-04,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN
L,2024-05-31,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
