symbol,date,event,prior_regime,base_event,detector
KEUA,2024-02-27,SOW:UNKNOWN,UNKNOWN,SOW,contextual
KEUA,2024-03-04,SOW:MARKDOWN,MARKDOWN,SOW,contextual
KEX,2024-06-03,SOS:UNKNOWN,UNKNOWN,SOS,contextual
KEX,2025-10-29,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
KEY,2024-11-06,SOS:UNKNOWN,UNKNOWN,SOS,contextual
KEY,2025-07-22,BC:ACCUMULATION,ACCUMULATION,BC,contextual
KEYS,2024-02-20,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
KEYS,2024-05-21,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
KEYS,2025-10-31,BC:ACCUMULATION,ACCUMULATION,BC,contextual
KEYS,2025-11-25,SOS:NONE,NONE,SOS,contextual
KEYS,2025-11-25,SOS:NONE,NONE,SOS,contextual
KFFB,2025-10-07,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual
KFFB,2025-10-13,BC:MARKUP,MARKUP,BC,contextual
KFRC,2024-03-04,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
KFRC,2024-07-30,BC:MARKUP,MARKUP,BC,contextual
KFS,2024-11-07,BC:UNKNOWN,UNKNOWN,BC,contextual
KFS,2025-05-15,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
KFY,2024-06-13,BC:UNKNOWN,UNKNOWN,BC,contextual
KFY,2024-08-01,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
KGC,2025-09-19,BC:UNKNOWN,UNKNOWN,BC,contextual
KGC,2025-10-02,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
KGEI,2025-02-18,SOS:UNKNOWN,UNKNOWN,SOS,contextual
KGEI,2025-03-04,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
KGRN,2024-10-01,BC:UNKNOWN,UNKNOWN,BC,contextual
KGRN,2024-10-07,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
KGS,2024-07-22,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
KGS,2024-10-04,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
KHC,2024-04-19,SOS:UNKNOWN,UNKNOWN,SOS,contextual
KHC,2025-05-21,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
KHC,2025-07-11,BC:MARKDOWN,MARKDOWN,BC,contextual
KHC,2025-07-11,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
KHYB,2024-06-03,SOS:UNKNOWN,UNKNOWN,SOS,contextual
KHYB,2025-09-03,BC:ACCUMULATION,ACCUMULATION,BC,contextual
KIDS,2024-03-04,SOS:UNKNOWN,UNKNOWN,SOS,contextual
KIDS,2025-03-05,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
KIE,2024-07-30,SOS:UNKNOWN,UNKNOWN,SOS,contextual
KIE,2024-08-02,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
KIM,2024-04-18,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
KINS,2024-02-27,SOW:UNKNOWN,UNKNOWN,SOW,contextual
KINS,2024-03-28,SOW:MARKDOWN,MARKDOWN,SOW,contextual
KINS,2024-11-20,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
KINS,2025-05-09,BC:ACCUMULATION,ACCUMULATION,BC,contextual
KITT,2025-12-03,BC:NONE,NONE,BC,contextual
KITT,2025-12-03,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
KJAN,2025-07-01,BC:ACCUMULATION,ACCUMULATION,BC,contextual
