symbol,date,sequence_id,detector,event
SSSS,2024-08-09,SEQ_RECOVERY,sequence,SEQ_RECOVERY
SSSS,2025-10-31,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SSSSL,2025-01-07,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SST,2025-06-24,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SSTI,2025-08-19,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SSTK,2025-10-16,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SSYS,2025-10-21,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
ST,2025-02-27,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STAA,2025-10-24,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STAG,2024-11-07,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STAX,2025-09-12,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STBA,2024-11-07,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STBF,2025-10-09,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STC,2025-10-23,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STCE,2025-10-10,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STE,2025-11-13,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STEL,2025-12-15,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STEM,2025-05-01,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STG,2025-07-21,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STGW,2025-02-27,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STGW,2025-05-09,SEQ_FAILED_ACCUM,sequence,SEQ_FAILED_ACCUM
STHO,2025-06-11,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STI,2025-10-15,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STIM,2025-08-06,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STKH,2025-05-07,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STKL,2024-09-10,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STKS,2025-09-30,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STLA,2025-04-09,SEQ_RECOVERY,sequence,SEQ_RECOVERY
STLA,2025-07-24,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STLD,2025-10-22,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STM,2025-12-17,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STN,2025-02-27,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STNE,2024-12-02,SEQ_FAILED_ACCUM,sequence,SEQ_FAILED_ACCUM
STNE,2025-03-26,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STNG,2025-09-17,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STOK,2025-10-09,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STOT,2025-04-09,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STPZ,2025-09-17,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STRA,2024-04-29,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STRL,2025-06-20,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STRR,2025-08-14,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STRS,2025-12-23,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STRT,2025-05-16,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STRW,2024-07-18,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STRZ,2025-12-12,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STSS,2025-08-26,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STT,2025-07-07,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STTK,2025-04-08,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STVN,2025-07-25,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STWD,2025-07-17,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STX,2025-10-31,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STXG,2025-09-02,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STXI,2024-09-05,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STXK,2024-07-18,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STXM,2025-10-29,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STXS,2025-10-09,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
STZ,2025-07-02,SEQ_RECOVERY,sequence,SEQ_RECOVERY
STZ,2025-12-12,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SU,2024-05-23,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SUB,2024-08-05,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SUGP,2025-10-10,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SUI,2025-02-27,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SUN,2025-02-06,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SUNE,2025-10-10,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SUNS,2025-12-02,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SUPN,2025-10-31,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SUPV,2025-10-10,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SUPX,2025-07-31,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SURE,2025-07-21,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SURG,2024-10-14,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SUUN,2025-08-20,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SUZ,2025-11-13,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SVAL,2025-09-05,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SVC,2025-07-24,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SVCO,2025-01-27,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SVIX,2025-03-11,SEQ_FAILED_ACCUM,sequence,SEQ_FAILED_ACCUM
SVM,2025-09-23,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SVRA,2025-12-01,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SVRE,2025-12-16,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SVV,2025-08-05,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
SW,2024-12-18,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP
