symbol,date,event,prior_regime,base_event,detector
SSSS,2024-02-13,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
SSSS,2024-08-05,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
SSSS,2025-10-30,BC:ACCUMULATION,ACCUMULATION,BC,contextual
SSSSL,2024-04-25,SOW:UNKNOWN,UNKNOWN,SOW,contextual
SSSSL,2024-10-01,SOS:MARKDOWN,MARKDOWN,SOS,contextual
SSSSL,2025-01-06,BC:MARKUP,MARKUP,BC,contextual
SST,2025-06-20,BC:ACCUMULATION,ACCUMULATION,BC,contextual
SSTI,2024-05-23,SOS:UNKNOWN,UNKNOWN,SOS,contextual
SSTI,2025-08-13,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
SSTK,2024-03-08,SOS:UNKNOWN,UNKNOWN,SOS,contextual
SSTK,2025-03-31,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
SSTK,2025-10-15,BC:MARKDOWN,MARKDOWN,BC,contextual
SSXU,2025-04-04,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
SSYS,2024-04-15,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
SSYS,2024-04-16,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
SSYS,2025-10-20,BC:ACCUMULATION,ACCUMULATION,BC,contextual
ST,2024-02-26,SOS:UNKNOWN,UNKNOWN,SOS,contextual
ST,2024-03-05,SOS:MARKUP,MARKUP,SOS,contextual
ST,2025-02-12,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
STAA,2024-02-27,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STAA,2024-03-06,SOS:MARKUP,MARKUP,SOS,contextual
STAA,2025-10-23,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STAG,2024-07-17,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
STAG,2024-11-06,BC:MARKUP,MARKUP,BC,contextual
STAX,2025-09-11,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STAX,2025-09-16,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
STBA,2024-07-25,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STBA,2024-11-06,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
STBF,2024-06-18,SOW:UNKNOWN,UNKNOWN,SOW,contextual
STBF,2025-09-26,BC:MARKDOWN,MARKDOWN,BC,contextual
STC,2024-04-03,SOW:UNKNOWN,UNKNOWN,SOW,contextual
STC,2024-07-11,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
STC,2025-10-22,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STCE,2024-02-06,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
STCE,2025-10-07,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STE,2025-11-06,BC:NONE,NONE,BC,contextual
STE,2025-11-06,BC:NONE,NONE,BC,contextual
STEC,2024-10-15,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
STEC,2025-05-01,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
STEC,2025-12-23,BC:NONE,NONE,BC,contextual
STEL,2025-11-21,BC:UNKNOWN,UNKNOWN,BC,contextual
STEL,2025-11-21,BC:NONE,NONE,BC,contextual
STEM,2024-02-29,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STEM,2024-05-03,SOS:MARKUP,MARKUP,SOS,contextual
STEM,2025-04-30,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
STEP,2025-12-09,BC:NONE,NONE,BC,contextual
STEP,2025-12-09,BC:NONE,NONE,BC,contextual
STFS,2025-03-24,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
STFS,2025-04-04,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
STFS,2025-10-28,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STG,2025-07-16,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STG,2025-07-18,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
STGW,2024-11-08,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STGW,2025-02-13,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
STGW,2025-05-09,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual
STGW,2025-06-13,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
STHO,2024-03-20,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STHO,2025-06-03,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
STI,2025-10-13,BC:UNKNOWN,UNKNOWN,BC,contextual
STIM,2025-02-18,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
STIM,2025-08-05,BC:MARKUP,MARKUP,BC,contextual
STIP,2024-08-05,BC:UNKNOWN,UNKNOWN,BC,contextual
STKH,2024-04-04,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STKH,2025-05-06,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
STKL,2024-02-29,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STKL,2024-03-01,SOS:MARKUP,MARKUP,SOS,contextual
STKL,2024-05-02,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
STKL,2024-05-03,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
STKL,2024-09-09,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STKS,2024-03-15,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STKS,2024-09-10,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual
STKS,2024-11-08,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
STKS,2025-09-29,BC:MARKDOWN,MARKDOWN,BC,contextual
STLA,2024-03-12,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STLA,2025-04-08,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
STLA,2025-07-23,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STLD,2025-10-21,BC:UNKNOWN,UNKNOWN,BC,contextual
STLD,2025-10-27,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
STM,2024-01-24,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STM,2024-02-27,SOS:MARKUP,MARKUP,SOS,contextual
STM,2024-03-01,SOS:MARKUP,MARKUP,SOS,contextual
STM,2025-12-03,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STM,2025-12-03,BC:NONE,NONE,BC,contextual
STN,2024-02-29,SOW:UNKNOWN,UNKNOWN,SOW,contextual
STN,2024-05-02,SOW:MARKDOWN,MARKDOWN,SOW,contextual
STN,2025-02-26,BC:MARKDOWN,MARKDOWN,BC,contextual
STN,2025-05-15,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
STN,2025-05-15,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual
STNC,2025-04-04,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
STNE,2024-03-19,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STNE,2024-12-02,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual
STNE,2024-12-18,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
STNE,2025-03-19,BC:MARKDOWN,MARKDOWN,BC,contextual
STNG,2024-04-18,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STNG,2025-04-04,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual
STNG,2025-09-08,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STOK,2024-02-26,SOW:UNKNOWN,UNKNOWN,SOW,contextual
STOK,2024-03-05,SOW:MARKDOWN,MARKDOWN,SOW,contextual
STOK,2024-03-27,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
STOK,2025-10-08,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STOK,2025-10-14,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
STOT,2024-03-20,SOW:UNKNOWN,UNKNOWN,SOW,contextual
STOT,2024-07-30,SOS:MARKDOWN,MARKDOWN,SOS,contextual
STOT,2025-04-08,BC:MARKUP,MARKUP,BC,contextual
STPZ,2024-05-01,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
STPZ,2025-08-22,BC:MARKDOWN,MARKDOWN,BC,contextual
STRA,2024-04-26,BC:UNKNOWN,UNKNOWN,BC,contextual
STRL,2024-02-23,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
STRL,2024-02-26,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual
STRL,2025-06-17,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STRL,2025-07-10,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
STRO,2024-03-20,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
STRO,2024-11-15,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
STRR,2024-03-22,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
STRR,2024-06-17,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual
STRR,2025-08-13,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
STRS,2024-07-11,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STRS,2025-12-16,BC:NONE,NONE,BC,contextual
STRS,2025-12-16,BC:NONE,NONE,BC,contextual
STRT,2024-03-15,SOW:UNKNOWN,UNKNOWN,SOW,contextual
STRT,2025-05-14,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
STRT,2025-05-21,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
STRT,2025-06-27,SPRING:MARKUP,MARKUP,SPRING,contextual
STRW,2024-03-20,SOW:UNKNOWN,UNKNOWN,SOW,contextual
STRW,2024-04-25,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
STRW,2024-06-26,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STRW,2025-12-03,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual
STRW,2025-12-03,SOS:MARKUP,MARKUP,SOS,contextual
STRZ,2025-12-10,BC:NONE,NONE,BC,contextual
STRZ,2025-12-10,BC:NONE,NONE,BC,contextual
STSS,2025-08-21,BC:UNKNOWN,UNKNOWN,BC,contextual
STSS,2025-08-27,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
STT,2024-03-20,SOW:UNKNOWN,UNKNOWN,SOW,contextual
STT,2025-06-18,BC:MARKDOWN,MARKDOWN,BC,contextual
STT,2025-07-16,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual
STT,2025-07-25,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual
STTK,2024-03-01,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STTK,2025-04-07,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STTK,2025-04-07,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual
STTK,2025-06-27,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
STVN,2024-02-29,SOS:UNKNOWN,UNKNOWN,SOS,contextual
STVN,2024-03-07,SOS:MARKUP,MARKUP,SOS,contextual
STVN,2024-06-27,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual
STVN,2025-07-24,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STWD,2025-07-01,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STX,2025-10-29,BC:ACCUMULATION,ACCUMULATION,BC,contextual
STXE,2024-02-02,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
